소환사명,티어,LP,레벨,승률,아이템1,아이템2,아이템3
qwer1234asdf,Grandmaster,359 LP,35,65%,초시계,B.F. 대검,굶주린 히드라
qwer1234asdf,Grandmaster,359 LP,35,65%,도란의 검,롱소드,무한의 대검
qwer1234asdf,Grandmaster,359 LP,35,65%,망가진 초시계,탐식의 망치,악마의 마법서
ARODBAEP,Master,274 LP,34,69%,타곤 산의 방벽,슈렐리아의 군가,정수 약탈자
ARODBAEP,Master,274 LP,34,69%,도란의 검,충전형 물약,제어 와드
ARODBAEP,Master,274 LP,34,69%,타곤 산의 방패,강철의 솔라리 펜던트,제어 와드
asdqwezxc,Master,256 LP,36,59%,지평선의 초점,존야의 모래시계,밤의 수확자
asdqwezxc,Master,256 LP,36,59%,마법사의 신발,마법사의 신발,마법공학 로켓 벨트
asdqwezxc,Master,256 LP,36,59%,증폭의 고서,지평선의 초점,발걸음 분쇄기
smukakukuka,Master,242 LP,34,69%,헤르메스의 발걸음,선혈포식자,제어 와드
smukakukuka,Master,242 LP,34,69%,도란의 검,선혈포식자,탐식의 망치
smukakukuka,Master,242 LP,34,69%,스테락의 도전,발걸음 분쇄기,제어 와드
SUP Rate,Master,216 LP,38,57%,부패 물약,몰락한 왕의 검,삼위일체
SUP Rate,Master,216 LP,38,57%,도란의 검,돌풍,유령 무희
SUP Rate,Master,216 LP,38,57%,크라켄 학살자,고속 연사포,무한의 대검
exec cosmoflips,Master,205 LP,34,67%,고속 연사포,크라켄 학살자,곡괭이
exec cosmoflips,Master,205 LP,34,67%,망가진 초시계,광전사의 군화,제어 와드
exec cosmoflips,Master,205 LP,34,67%,망가진 초시계,무라마나,삼위일체
Icelandboy,Master,176 LP,34,63%,리치베인,역병의 보석,메자이의 영혼약탈자
Icelandboy,Master,176 LP,34,63%,민첩성의 망토,징수의 총,도란의 검
Icelandboy,Master,176 LP,34,63%,선혈포식자,탐식의 망치,몰락한 왕의 검
hashtag rentfree,Master,150 LP,36,56%,마법공학 로켓 벨트,증폭의 고서,장화
hashtag rentfree,Master,150 LP,36,56%,강철가시 채찍,헤르메스의 발걸음,탐식의 망치
hashtag rentfree,Master,150 LP,36,56%,빗발칼날,충전형 물약,모렐로노미콘
im sry i died,Master,131 LP,35,60%,만년서리,초시계,대천사의 포옹
im sry i died,Master,131 LP,35,60%,루덴의 폭풍,부패 물약,몰락한 왕의 검
im sry i died,Master,131 LP,35,60%,발걸음 분쇄기,수호 천사,요우무의 유령검
EUWEIL,Master,86 LP,36,54%,라바돈의 죽음모자,존야의 모래시계,공허의 지팡이
